Infografia,Provincia,Fallecidos,Fecha_reporte,Hora_reporte
40,Napo,0,2020/04/04 00:00:00,10:00
40,Orellana,0,2020/04/04 00:00:00,10:00
40,Pastaza,0,2020/04/04 00:00:00,10:00
40,Sucumbíos,1,2020/04/04 00:00:00,10:00
40,Zamora Chinchipe,0,2020/04/04 00:00:00,10:00
40,Galápagos,0,2020/04/04 00:00:00,10:00
41,Azuay,5,2020/04/05 00:00:00,10:00
41,Bolívar,1,2020/04/05 00:00:00,10:00
41,Cañar,2,2020/04/05 00:00:00,10:00
41,Carchi,0,2020/04/05 00:00:00,10:00
41,Chimborazo,2,2020/04/05 00:00:00,10:00
41,Cotopaxi,1,2020/04/05 00:00:00,10:00
41,Imbabura,1,2020/04/05 00:00:00,10:00
41,Loja,0,2020/04/05 00:00:00,10:00
41,Pichincha,6,2020/04/05 00:00:00,10:00
41,Santo Domingo de los Tsáchilas,2,2020/04/05 00:00:00,10:00
41,Tungurahua,3,2020/04/05 00:00:00,10:00
41,El Oro,13,2020/04/05 00:00:00,10:00
41,Esmeraldas,0,2020/04/05 00:00:00,10:00
41,Guayas,126,2020/04/05 00:00:00,10:00
41,Los Ríos,10,2020/04/05 00:00:00,10:00
41,Manabí,2,2020/04/05 00:00:00,10:00
41,Santa Elena,4,2020/04/05 00:00:00,10:00
41,Morona Santiago,0,2020/04/05 00:00:00,10:00
41,Napo,0,2020/04/05 00:00:00,10:00
41,Orellana,0,2020/04/05 00:00:00,10:00
41,Pastaza,0,2020/04/05 00:00:00,10:00
41,Sucumbíos,1,2020/04/05 00:00:00,10:00
41,Zamora Chinchipe,0,2020/04/05 00:00:00,10:00
41,Galápagos,1,2020/04/05 00:00:00,10:00
42,Azuay,5,2020/04/06 00:00:00,10:00
42,Bolívar,1,2020/04/06 00:00:00,10:00
42,Cañar,2,2020/04/06 00:00:00,10:00
42,Carchi,0,2020/04/06 00:00:00,10:00
42,Chimborazo,2,2020/04/06 00:00:00,10:00
42,Cotopaxi,1,2020/04/06 00:00:00,10:00
42,Imbabura,2,2020/04/06 00:00:00,10:00
42,Loja,0,2020/04/06 00:00:00,10:00
42,Pichincha,10,2020/04/06 00:00:00,10:00
42,Santo Domingo de los Tsáchilas,2,2020/04/06 00:00:00,10:00
42,Tungurahua,3,2020/04/06 00:00:00,10:00
42,El Oro,14,2020/04/06 00:00:00,10:00
42,Esmeraldas,0,2020/04/06 00:00:00,10:00
42,Guayas,130,2020/04/06 00:00:00,10:00
42,Los Ríos,10,2020/04/06 00:00:00,10:00
42,Manabí,3,2020/04/06 00:00:00,10:00
42,Santa Elena,4,2020/04/06 00:00:00,10:00
42,Morona Santiago,0,2020/04/06 00:00:00,10:00
42,Napo,0,2020/04/06 00:00:00,10:00
42,Orellana,0,2020/04/06 00:00:00,10:00
42,Pastaza,0,2020/04/06 00:00:00,10:00
42,Sucumbíos,1,2020/04/06 00:00:00,10:00
42,Zamora Chinchipe,0,2020/04/06 00:00:00,10:00
42,Galápagos,1,2020/04/06 00:00:00,10:00
43,Azuay,6,2020/04/07 00:00:00,17:00
43,Bolívar,1,2020/04/07 00:00:00,17:00
43,Cañar,2,2020/04/07 00:00:00,17:00
43,Carchi,0,2020/04/07 00:00:00,17:00
43,Chimborazo,11,2020/04/07 00:00:00,17:00
43,Cotopaxi,4,2020/04/07 00:00:00,17:00
43,Imbabura,2,2020/04/07 00:00:00,17:00
43,Loja,0,2020/04/07 00:00:00,17:00
43,Pichincha,10,2020/04/07 00:00:00,17:00
43,Santo Domingo de los Tsáchilas,4,2020/04/07 00:00:00,17:00
43,Tungurahua,3,2020/04/07 00:00:00,17:00
43,El Oro,14,2020/04/07 00:00:00,17:00
43,Esmeraldas,0,2020/04/07 00:00:00,17:00
43,Guayas,138,2020/04/07 00:00:00,17:00
43,Los Ríos,11,2020/04/07 00:00:00,17:00
43,Manabí,8,2020/04/07 00:00:00,17:00
43,Santa Elena,4,2020/04/07 00:00:00,17:00
43,Morona Santiago,0,2020/04/07 00:00:00,17:00
43,Napo,0,2020/04/07 00:00:00,17:00
